city,country,cost of living index,property prices index,health care index,crime index,quality of life index
andorra,and,-1,-1,-1,-1,-1
dubai,are,57.76,3.85,66.51,17.04,174.04
buenos aires,arg,35.12,23.81,69.18,62.87,112.47
yerevan,arm,32.21,14.98,47.89,22.37,122.13
adelaide,aus,68.85,-1,74.2,32.16,206.65
brisbane,aus,70.76,6.5,82.21,34.3,202.9
melbourne,aus,72.65,9.14,75.18,44.33,183.33
perth,aus,75.39,6.35,77.13,43.67,194.31
sydney,aus,79.61,11.02,72.76,38.54,178.92
innsbruck,aut,-1,-1,-1,-1,-1
vienna,aut,68.44,12.73,79.05,22.55,193.07
baku,aze,29.96,18.16,36.87,29.44,99.58
brussels,bel,74.02,6.91,78.16,49.4,150.85
sofia,bgr,40.37,8.87,54.15,44.29,127.34
sarajevo,bih,38.98,14.05,51.36,51.1,108.09
minsk,blr,34.28,14.1,60.11,22.99,143.39
belize city,blz,-1,-1,-1,-1,-1
la paz,bol,38.16,-1,-1,-1,-1
curitiba,bra,39.91,14.31,64.25,64.42,134.85
florianopolis,bra,39.77,-1,-1,56.03,-1
porto alegre,bra,41.38,13.34,61.13,78.04,111.77
rio de janeiro,bra,45.12,23.58,42.72,77.98,70.38
sao paulo,bra,45.28,20.62,55.09,71.85,78.76
calgary,can,69.08,5.23,76.24,31.39,183.08
edmonton,can,68.79,4.44,78.08,41.72,172.9
halifax,can,68.26,-1,71.09,42.11,172.05
montreal,can,64.03,7.16,62.49,31.85,164.39
ottawa,can,66.79,4.82,74.58,24.42,194.97
quebec,can,-1,-1,-1,-1,-1
saskatoon,can,72.4,-1,66.73,49.2,-1
toronto,can,80.58,13.07,74.84,35.63,151.16
vancouver,can,68.34,16.18,73.76,36.29,171.25
victoria,can,67.54,7.74,72.13,31.99,194.79
winnipeg,can,60.58,4.91,68.47,55.39,147.68
bern,che,117.62,-1,-1,-1,-1
geneva,che,121.68,10.34,69.92,27.89,187.84
lausanne,che,120.31,-1,-1,31.03,-1
zurich,che,124.88,9.46,75.0,18.27,204.42
santiago,chl,52.41,14.45,66.8,50.46,116.18
beijing,chn,45.43,45.3,63.29,52.79,65.11
hong kong,chn,77.91,49.42,67.35,19.32,100.9
shanghai,chn,51.51,45.1,61.2,51.63,73.33
bogota,col,33.21,23.97,65.38,60.9,93.48
medellin,col,30.47,16.83,76.71,46.08,122.75
havana,cub,-1,-1,-1,-1,-1
nicosia,cyp,62.79,7.98,49.65,29.33,142.27
brno,cze,44.88,11.45,76.22,26.74,164.58
prague,cze,47.8,17.69,73.1,25.95,159.16
berlin,deu,66.56,10.53,70.27,39.81,166.8
cologne,deu,65.05,-1,-1,41.29,177.21
dresden,deu,63.49,-1,-1,-1,-1
dusseldorf,deu,67.81,-1,-1,25.96,-1
frankfurt,deu,69.26,11.07,72.39,44.12,172.95
hamburg,deu,70.47,9.76,78.98,46.61,177.64
hannover,deu,-1,-1,-1,-1,-1
karlsruhe,deu,66.21,-1,-1,-1,-1
leipzig,deu,64.08,10.24,-1,-1,-1
munich,deu,71.77,16.11,80.66,16.98,188.48
stuttgart,deu,65.9,10.05,71.98,25.22,181.75
aarhus,dnk,-1,-1,-1,-1,-1
copenhagen,dnk,84.76,8.85,77.12,23.83,194.51
santo domingo,dom,46.66,13.14,51.79,68.29,-1
quito,ecu,44.61,11.56,-1,53.28,122.49
cairo,egy,29.17,12.75,42.91,52.4,76.45
barcelona,esp,60.41,13.81,75.36,42.75,141.85
bilbao,esp,-1,-1,-1,-1,-1
las palmas de gran canaria,esp,52.1,-1,-1,-1,-1
madrid,esp,58.6,12.26,78.58,35.15,150.74
malaga,esp,50.7,-1,75.09,24.37,-1
seville,esp,-1,-1,-1,-1,-1
valencia,esp,54.95,7.66,82.1,30.16,178.01
tallinn,est,52.37,9.65,70.65,20.52,175.51
tartu,est,50.37,-1,-1,-1,-1
helsinki,fin,74.75,12.39,73.93,22.58,186.4
oulu,fin,-1,-1,-1,26.78,-1
tampere,fin,72.18,7.02,-1,-1,-1
turku,fin,-1,-1,-1,-1,-1
bordeaux,fra,-1,-1,-1,-1,-1
grenoble,fra,-1,-1,-1,-1,-1
lille,fra,67.26,-1,-1,-1,-1
lyon,fra,77.88,9.69,-1,43.39,-1
marseille,fra,-1,-1,-1,55.62,-1
nantes,fra,-1,-1,-1,-1,-1
nice,fra,-1,-1,-1,-1,-1
paris,fra,85.04,19.12,74.82,52.02,125.09
toulouse,fra,72.36,-1,-1,42.97,-1
belfast,gbr,60.67,-1,69.65,43.41,-1
birmingham,gbr,66.05,-1,73.74,55.68,157.35
brighton,gbr,73.07,-1,-1,-1,-1
bristol,gbr,72.86,-1,73.24,-1,176.87
cardiff,gbr,62.24,-1,-1,-1,-1
edinburgh,gbr,70.33,8.7,80.38,30.87,190.43
gibraltar,gbr,-1,-1,-1,-1,-1
glasgow,gbr,65.65,-1,84.35,44.86,183.26
leeds,gbr,67.32,-1,83.89,42.62,175.02
liverpool,gbr,62.52,-1,-1,43.52,-1
london,gbr,83.46,20.83,67.85,51.48,125.67
manchester,gbr,69.15,-1,77.7,55.81,147.53
oxford,gbr,72.89,-1,-1,-1,-1
tbilisi,geo,29.09,12.89,52.67,19.76,117.95
athens,grc,58.11,10.3,54.39,48.11,126.58
thessaloniki,grc,56.18,10.74,56.19,34.95,131.87
guatemala city,gtm,44.09,10.91,64.38,-1,111.76
zagreb,hrv,50.07,11.49,65.5,24.32,162.04
budapest,hun,44.43,14.83,46.68,36.51,126.07
bali,idn,41.13,-1,-1,44.47,-1
jakarta,idn,42.68,21.24,58.95,53.38,71.32
bengaluru,ind,-1,-1,-1,-1,-1
chennai,ind,25.29,15.6,70.76,41.15,107.52
delhi,ind,27.7,15.8,66.78,59.64,83.16
hyderabad,ind,25.29,7.7,67.46,34.92,128.79
mumbai,ind,29.44,39.27,67.85,42.76,74.73
cork,irl,74.05,-1,54.61,30.16,186.62
dublin,irl,98.31,10.57,49.67,50.45,146.98
galway,irl,69.22,-1,46.23,28.62,-1
tehran,irn,46.53,19.22,51.52,54.01,75.3
reykjavik,isl,99.96,6.45,67.66,20.71,190.37
tel aviv,isr,-1,-1,-1,-1,-1
bologna,ita,69.22,10.45,-1,46.03,-1
florence,ita,75.68,14.87,-1,-1,-1
milan,ita,73.13,17.28,71.06,44.42,127.59
naples,ita,60.53,-1,-1,57.86,-1
rome,ita,70.61,19.8,59.63,53.01,110.01
turin,ita,67.97,9.02,67.22,57.31,129.74
kingston,jam,62.28,-1,-1,68.03,-1
fukuoka,jpn,-1,-1,-1,-1,-1
kyoto,jpn,-1,-1,-1,-1,-1
osaka,jpn,79.35,-1,-1,15.07,-1
tokyo,jpn,86.32,13.39,80.65,16.51,171.18
almaty,kaz,30.96,12.42,51.1,72.82,87.69
nairobi,ken,42.95,-1,57.52,57.47,72.26
phnom penh,khm,46.84,36.25,-1,53.25,-1
seoul,kor,83.28,20.67,84.01,34.49,146.19
beirut,lbn,60.92,15.14,68.81,45.06,105.6
vilnius,ltu,47.09,13.24,66.75,29.18,158.85
luxembourg,lux,89.74,10.69,78.1,25.49,193.24
riga,lva,49.68,9.84,58.3,37.38,143.82
casablanca,mar,36.57,18.68,38.82,54.77,-1
chisinau,mda,33.19,13.16,-1,44.33,-1
albuquerque,mex,-1,-1,-1,-1,-1
guadalajara,mex,34.54,11.94,78.18,57.93,120.33
mexico city,mex,35.94,15.6,64.25,68.17,92.82
skopje,mkd,35.03,14.65,58.89,44.81,105.46
valletta,mlt,-1,-1,-1,-1,-1
kuala lumpur,mys,41.97,11.41,65.01,67.02,110.13
lagos,nga,35.06,-1,53.02,64.22,51.31
managua,nic,-1,-1,-1,-1,-1
amsterdam,nld,80.3,11.31,70.74,34.48,173.29
eindhoven,nld,73.31,4.48,-1,25.11,216.39
rotterdam,nld,63.0,6.69,-1,36.11,178.32
the hague,nld,-1,-1,-1,-1,-1
utrecht,nld,75.33,-1,-1,-1,-1
bergen,nor,101.16,7.89,73.2,30.47,-1
oslo,nor,102.96,10.91,73.43,38.39,166.49
kathmandu,npl,32.52,29.22,55.51,35.11,78.69
auckland,nzl,78.25,11.81,74.91,46.0,171.51
christchurch,nzl,71.81,-1,-1,36.94,-1
wellington,nzl,73.96,7.32,72.85,28.98,201.96
panama,pan,-1,-1,-1,-1,-1
lima,per,40.86,16.64,55.55,68.54,81.87
manila,phl,40.94,19.72,60.47,59.43,67.42
gdansk,pol,40.63,10.35,60.51,31.77,164.78
krakow,pol,-1,-1,-1,-1,-1
warsaw,pol,42.16,12.14,62.64,26.59,144.58
wroclaw,pol,40.95,10.2,61.85,29.96,141.01
lisbon,prt,53.07,18.0,70.76,30.78,149.54
porto,prt,50.74,12.81,73.75,41.46,155.43
asuncion,pry,32.52,-1,-1,-1,-1
doha,qat,59.87,5.69,72.29,12.17,167.25
bucharest,rou,38.69,11.08,53.69,27.74,120.77
cluj-napoca,rou,36.75,13.49,65.44,21.16,155.06
moscow,rus,44.13,18.41,57.79,41.51,105.39
saint petersburg,rus,38.58,14.17,58.67,39.89,111.59
riyadh,sau,48.93,3.18,64.25,29.48,150.49
singapore,sgp,71.59,21.56,70.3,21.47,156.91
san salvador,slv,49.88,13.92,-1,72.12,-1
belgrade,srb,39.23,22.21,54.78,37.25,112.44
bratislava,svk,48.22,12.4,58.37,30.28,149.82
ljubljana,svn,54.71,13.38,63.55,22.76,171.22
gothenburg,swe,69.47,10.65,71.1,43.51,185.31
malmo,swe,67.57,6.76,72.84,52.45,-1
stockholm,swe,76.51,14.42,68.13,47.18,166.45
uppsala,swe,72.44,-1,-1,-1,-1
bangkok,tha,54.73,22.94,78.52,45.75,93.8
chiang mai,tha,45.04,-1,85.19,26.91,-1
phuket,tha,46.63,-1,-1,59.34,-1
tunis,tun,25.14,12.25,60.12,40.17,-1
ankara,tur,33.39,6.91,66.99,41.35,130.16
istanbul,tur,36.75,12.49,67.87,48.99,111.44
taipei,twn,62.09,32.23,85.38,15.86,139.63
dar es salaam,tza,-1,-1,-1,63.04,-1
kiev,ukr,31.83,14.28,53.86,48.0,104.51
lviv,ukr,27.83,16.02,56.27,38.44,115.36
montevideo,ury,55.93,12.88,64.95,55.12,128.79
anchorage ak,usa,-1,2.53,-1,-1,-1
asheville nc,usa,70.96,-1,-1,-1,-1
atlanta ga,usa,72.67,2.93,64.21,63.63,169.9
austin tx,usa,70.0,4.03,70.58,34.6,192.57
baltimore md,usa,73.88,2.59,-1,71.25,167.98
birmingham al,usa,-1,-1,-1,-1,-1
boise id,usa,60.63,3.74,-1,32.86,-1
boston ma,usa,85.71,8.48,75.6,33.21,181.01
boulder co,usa,63.12,-1,-1,-1,-1
bozeman mt,usa,-1,-1,-1,-1,-1
buffalo tx,usa,-1,-1,-1,-1,-1
cambridge ma,usa,-1,-1,-1,-1,-1
charleston sc,usa,-1,-1,-1,-1,-1
charlotte nc,usa,73.99,2.4,-1,45.17,195.85
chattanooga tn,usa,-1,-1,-1,-1,-1
chicago il,usa,78.29,3.54,68.37,64.64,161.24
cincinnati oh,usa,64.53,2.4,-1,51.07,178.51
cleveland oh,usa,72.51,1.52,-1,-1,-1
colorado springs co,usa,-1,2.84,-1,-1,-1
columbus oh,usa,66.78,2.31,75.28,42.36,195.88
dallas tx,usa,66.02,2.36,66.33,49.52,188.66
denver co,usa,72.89,4.79,70.96,42.15,169.82
des moines ia,usa,-1,-1,-1,-1,-1
detroit mi,usa,-1,1.72,63.75,71.84,133.44
eugene or,usa,69.34,-1,-1,-1,-1
fort collins co,usa,-1,-1,-1,-1,-1
honolulu hi,usa,94.52,8.66,69.92,43.78,164.22
houston tx,usa,63.49,2.2,72.27,60.91,171.0
indianapolis in,usa,67.97,2.26,68.96,55.17,166.91
jacksonville fl,usa,68.31,2.03,-1,58.29,185.15
kansas city mo,usa,68.36,2.08,-1,60.23,185.36
knoxville tn,usa,64.19,2.98,-1,-1,-1
las vegas nv,usa,69.03,2.78,54.41,55.7,158.08
los angeles ca,usa,77.87,7.72,65.87,47.13,150.65
louisville ky,usa,65.23,2.64,-1,-1,-1
madison wi,usa,64.12,3.3,-1,27.59,204.36
memphis tn,usa,64.78,1.42,-1,-1,-1
miami fl,usa,76.84,5.91,64.04,52.91,151.75
milwaukee wi,usa,69.9,2.95,66.46,65.29,158.89
minneapolis-saint paul mn,usa,-1,-1,-1,-1,-1
nashville tn,usa,68.46,3.09,-1,-1,177.5
new orleans la,usa,-1,4.2,-1,66.78,-1
new york ny,usa,100.0,11.66,63.49,44.22,138.86
oklahoma city ok,usa,-1,2.46,-1,-1,-1
omaha ne,usa,-1,2.84,-1,-1,-1
orlando fl,usa,69.91,2.96,65.3,55.51,172.42
palo alto ca,usa,-1,-1,-1,-1,-1
philadelphia pa,usa,84.33,3.31,72.54,58.09,156.51
phoenix az,usa,65.74,2.8,66.79,53.49,159.55
pittsburgh pa,usa,73.67,2.21,-1,36.01,171.14
portland me,usa,-1,-1,-1,-1,-1
portland or,usa,77.25,4.93,70.31,45.23,187.61
providence ri,usa,-1,-1,-1,-1,-1
raleigh nc,usa,71.48,2.58,74.93,-1,216.05
richmond va,usa,67.4,3.03,-1,-1,-1
rochester ny,usa,75.8,-1,-1,57.08,-1
salt lake city ut,usa,63.2,3.63,70.19,25.2,179.53
san antonio tx,usa,64.53,2.24,69.24,46.11,186.37
san diego ca,usa,72.72,6.01,71.77,36.18,192.68
san francisco ca,usa,90.7,9.26,71.19,48.97,175.88
san jose ca,usa,79.06,6.1,68.83,41.96,192.57
san juan pr,usa,-1,-1,-1,-1,-1
san luis obispo ca,usa,-1,-1,-1,-1,-1
seattle wa,usa,84.12,6.16,72.51,44.68,188.21
st louis mo,usa,-1,-1,-1,-1,-1
tampa fl,usa,69.13,3.18,66.69,47.8,182.85
washington dc,usa,91.88,4.85,71.58,57.28,166.58
tashkent,uzb,27.11,14.95,-1,-1,-1
caracas,ven,26.3,143.21,41.1,83.1,0.0
ho chi minh city,vnm,38.1,22.92,55.48,56.22,72.64
cape town,zaf,44.09,8.4,71.62,70.06,146.52
johannesburg,zaf,45.93,3.55,58.96,80.29,129.37
